url_core,N_url,N,rel_party,insularity_party,insularity_media
newsweek,12,1,0.000840336134453782,0.736932257425328,0.639045372944477
vee-en-gewas,3,1,0.000840336134453782,0.906414335684345,0.88656718122901
tweedemonitor,7,1,0.000840336134453782,0.804776828321702,0.866053333653182
taiwannews,4,1,0.000840336134453782,0.751778036241257,0.838635213776159
thndr,3,1,0.000840336134453782,0.931368237073131,0.887261509090326
bonairechamber,1,1,0.000840336134453782,1,1
drijfveer,1,1,0.000840336134453782,1,1
dolfijnfm,1,1,0.000840336134453782,1,1
renaissanceinstituut,2,1,0.000840336134453782,0.777742202299955,0.928021446395947
spiked-online,2,1,0.000840336134453782,0.960287001501752,0.947236688417189
theamericanconservative,2,1,0.000840336134453782,0.960287001501752,0.947236688417189
