url_core,insularity_media,N_url,max_party,N_party,rel_party
eventbrite,0.700823444660561,77,Misc.,26,0.00182225960190636
genova24,0.695963501511016,84,LN,51,0.00178346621905162
lanazione,0.690528990962709,198,FI,120,0.00418249625318044
lospiffero,0.685197251639593,123,Misc.,34,0.0023829548640314
agenpress,0.684879624959823,136,FI,83,0.00289289324178314
ilgiornale,0.677261402399327,1361,LN,671,0.0234648202545811
ottopagine,0.669620000099901,53,FdI,9,0.000676793502782373
corrierecomunicazioni,0.669272735974396,58,PD,16,0.000484349458134044
theguardian,0.668525952498641,224,Misc.,62,0.00434538828146902
miur,0.666922531476164,63,Misc.,13,0.000911129800953182
vvox,0.666567403491125,59,LN,28,0.000979157924185201
vimeo,0.663206046376155,98,LN,53,0.00185340607077913
dagospia,0.655975809138214,366,FI,220,0.00766790979749747
mise,0.654914330992822,98,M5S,80,0.000873763079141091
ilrestodelcarlino,0.654876587200888,64,LN,32,0.00111903762764023
diariodelweb,0.654142024997253,94,FI,53,0.00184726917848803
panorama,0.649858788590644,113,FI,70,0.00243978948102192
liberoquotidiano,0.639036452261656,499,FdI,127,0.00955030831704016
wp,0.634728744697487,99,Misc.,14,0.000981216708718811
asca,0.632850496894834,84,Misc.,22,0.00154191197084385
lettera43,0.630868501353377,97,Misc.,29,0.00203252032520325
agricolae,0.626328941618023,240,IV,49,0.00283811178685201
ilsecoloxix,0.625561603953218,83,LN,37,0.00129388725695902
esteri,0.623915439920675,69,Misc.,16,0.00112139052425007
agenzianova,0.619896438035934,70,IV,18,0.00104257167680278
ilsussidiario,0.614787576998505,87,IV,37,0.00214306400231683
key4biz,0.613088071289774,75,FI,18,0.000627374437977066
governo,0.61142361048913,234,PD,101,0.00305745595447115
regione,0.607522575022684,572,IV,171,0.00990443092962641
ilgazzettino,0.593621472101463,128,LN,65,0.00227304518114422
mdst,0.589762437174929,132,Misc.,30,0.00210260723296888
ilgiorno,0.58463547609456,110,LN,59,0.00206322562596167
lanotiziagiornale,0.579405205588373,69,M5S,50,0.000546101924463182
milanofinanza,0.576319228591473,79,FI,34,0.00118504060506779
spotify,0.571759123954655,65,M5S,45,0.000491491732016864
senato,0.57126528319056,87,IV,30,0.00173761946133797
iltempo,0.570841343915486,236,FdI,74,0.00556474657843285
paper,0.569372666767833,105,Misc.,14,0.000981216708718811
nytimes,0.564714873153284,121,Misc.,27,0.00189234650967199
internazionale,0.560710864736325,56,Misc.,12,0.000841042893187553
vita,0.559630566697323,270,IV,77,0.00445988995076745
intelligonews,0.558503137971685,195,LN,68,0.00237795495873549
gonews,0.555034738637133,73,IV,24,0.00139009556907037
ft,0.552454055556204,102,PD,42,0.00127141732760186
nextquotidiano,0.549205430158773,147,IV,31,0.00179554011004923
goo,0.539484693586719,547,Misc.,144,0.0100925147182506
orizzontescuola,0.538529750748272,149,Misc.,26,0.00182225960190636
blitzquotidiano,0.537809291518567,64,LN,26,0.000909218072457686
affaritaliani,0.537725133765688,747,IV,213,0.0123370981754996
leggo,0.526731309839415,78,FdI,17,0.00127838772747782
wired,0.524787205515559,138,M5S,91,0.000993905502522991
giornalettismo,0.522900286637248,82,FI,30,0.00104562406329511
ilfoglio,0.502102436137057,269,IV,72,0.00417028670721112
mediaset,0.500416135891488,488,LN,207,0.00723877465379773
reuters,0.496598614946844,61,PD,19,0.000575164981534177
gelocal,0.493641315953179,394,LN,125,0.00437124073296965
publicpolicy,0.489770907544778,166,PD,56,0.00169522310346915
shar,0.487226425466758,80,FI,30,0.00104562406329511
imageshack,0.487063510224277,54,LN,19,0.000664428591411386
tempi,0.482315046686361,69,IV,15,0.000868809730668984
ilmessaggero,0.481327932748618,666,FdI,175,0.0131598736652128
tag24,0.478721621737824,53,FI,23,0.000801645115192918
istat,0.474756727437714,67,PD,25,0.000756796028334443
yahoo,0.474245924509114,93,IV,29,0.0016796988126267
ilfattoquotidiano,0.467933596864042,2077,M5S,1521,0.01661242054217
askanews,0.467814104002178,173,LN,77,0.0026926842915093
linkiesta,0.464466720821069,346,Misc.,69,0.00483599663582843
ilpost,0.460085229085511,200,IV,40,0.00231682594845062
fb,0.459382251880648,1796,Misc.,308,0.0215867675918138
radioradicale,0.459156441720195,402,Misc.,98,0.00686851696103168
ilsole24ore,0.456475655542517,1352,FI,456,0.0158934857620857
agenparl,0.452370193210461,497,FI,174,0.00606461956711164
avvenire,0.444470923513347,284,Misc.,46,0.00322399775721895
italiaoggi,0.4366410182018,76,LN,24,0.000839278220730172
huffingtonpost,0.433079052396773,1361,Misc.,238,0.0166806840482198
bloomberg,0.422257238809148,78,Misc.,8,0.000560695262125035
pscp,0.416637888654982,362,FdI,66,0.0049631523537374
raiplayradio,0.412191276349053,101,LN,36,0.00125891733109526
open,0.406818858956193,94,PD,34,0.00102924259853484
ow,0.403131919651131,89,Misc.,18,0.00126156433978133
lagazzettadelmezzogiorno,0.398058991020942,60,FdI,9,0.000676793502782373
agvilvelino,0.396945270154178,65,FI,22,0.000766790979749747
quotidianosanita,0.394818116036115,160,FI,35,0.00121989474051096
altervista,0.394048285792447,97,IV,12,0.000695047784535187
repubblica,0.38847480275564,4182,IV,722,0.0418187083695337
wordpress,0.387754135566068,561,PD,168,0.00508566931040746
adnkronos,0.379836723432388,451,Misc.,67,0.00469582282029717
ilmattino,0.378172805669547,231,FI,59,0.00205639399114705
