K,url_core,gini,N_url
20,efganidoenmez,0.546133072432612,5
20,distractify,1,1
20,citizengo,0.957115093741753,5
20,sibyllehamann,0.658859512848809,2
20,falscheneun,0.767118497366326,1
20,spektrum,0.647920047252622,1
20,sektionacht,0.679740183240216,1
20,dagmar-woehrl,0.748047520417099,1
20,zeit,0.741757623240838,1
20,bmeia,0.993593962964416,4
20,brandeins,0.728935601087797,1
20,gudrunkugler,0.898094817036072,3
20,scihi,1,1
20,sosmitmensch,0.878250844478412,2
20,br,0.844575712449545,1
20,zurpolitik,0.725192290188531,1
20,theconversation,1,1
20,fischundfleisch,0.732113471344044,1
20,die-tagespost,0.71444343113474,1
20,puls4,0.737575613687903,1
20,schwaebische,0.897128018184854,1
20,kpoe,0.735270776943511,1
20,hbr,1,1
20,gmx,0.545340927153347,2
20,wallstreet-online,0.650515207431912,1
20,sputniknews,0.710912013057078,1
20,fb,0.778032815228669,1
20,rt,0.762083173884011,2
20,achgut,0.674891847024245,2
20,vox,1,1
20,nikischerak,0.637073723800243,1
20,express,1,2
20,bayernkurier,0.663986424470144,1
20,wochenblick,0.581118044222723,1
20,allesroger,0.607544079497599,1
20,faktistfakt,0.759970317139463,2
20,onlinequizcreator,0.724300603644957,1
20,erlebniszug,0.797283631690525,1
20,thetyee,0.995162077126963,1
20,erstaunlich,0.704269655536653,1
20,lopatka,0.744253939419066,1
20,boeckler,0.763471649555362,1
20,info-direkt,0.756145114349913,1
20,salzburg,0.746166074404872,1
20,gpa-djp,0.759451062457435,1
20,philosophia-perennis,0.803962072081546,1
20,bz-berlin,0.598955840833515,1
20,labournetaustria,0.900234489040204,3
20,corneliaecker,0.835903618835483,8
20,tichyseinblick,0.686600929130897,2
20,frauennetzwerk,0.679089006905571,2
20,finanzmarktwelt,0.890539997410328,2
20,pflege-professionell,0.682654247214156,1
20,treffpunkteuropa,0.808945639094607,1
20,thedailyfranz,0.61592887842023,1
20,diealternative,0.674508457759581,5
20,auge,0.790825036961249,1
20,oecd-ilibrary,1,1
20,mailchi,0.894962733607188,1
20,fpoe-bgld,0.749434554645455,1
20,bbc,1,1
20,rklambda,0.646442190222287,1
20,zukunftsprogramm,0.873337474709016,1
20,balkanstories,0.871076782633899,1
25,dietagespresse,0.321425401354467,39
25,awblog,0.600910809828617,13
25,ots,0.238776600836278,246
25,openpetition,0.810030258421713,10
25,spiegel,0.336412102068412,39
25,kurier,0.187996822587564,315
25,derstandard,0.316056257200601,606
25,orf,0.193276334392644,429
25,profil,0.260402996051629,50
25,queer,0.961222611394727,1
25,morgenpost,0.807896426218243,1
25,kleinezeitung,0.229374638091866,75
25,claudia-roth,0.68050412768322,1
25,sueddeutsche,0.355205632604542,36
25,heute,0.286851556169395,75
25,kontrast,0.299399134144283,41
25,ft,0.996027736601848,2
25,nachrichten,0.247679455927048,65
25,thomasrammerstorfer,0.766305487917218,1
25,republik,0.599033797929588,2
25,krone,0.211896316556413,195
25,wienerzeitung,0.247951347903816,35
25,diepresse,0.236719944594016,274
25,w24,0.708622176664622,2
25,heise,0.735863934481131,1
25,facebook,0.302879720753613,89
25,news,0.269390791730729,15
25,sn,0.281220192934918,34
25,oe24,0.22183080501603,91
25,trend,0.523283773231214,6
25,tips,0.565986678634827,4
25,theguardian,0.999154284620818,6
25,fr,0.830223327869635,1
25,bild,0.404583737835418,11
25,anschlaege,0.775460762472227,1
25,nw,0.815329599689649,1
25,vol,0.431394026120413,13
25,meinbezirk,0.339449053690966,29
25,fpoefails,0.658962913880988,3
25,welt,0.352435831572334,37
25,vienna,0.588830894947776,6
25,tt,0.530314345316124,35
25,vrt,0.794014610799893,1
25,leadersnet,0.678731096472949,3
25,bvz,0.50697177310269,5
25,taz,0.546892561406133,5
25,mosaik-blog,0.410500726288197,4
25,noen,0.577111714622544,5
25,austrianaviation,0.715113571241001,1
25,industriemagazin,0.743910006030517,1
25,dasbiber,0.721573289767297,1
25,aufstehn,0.601619763650178,16
25,schlaglichter,0.681732621516237,1
25,polsatnews,0.922896081035407,1
25,nytimes,0.928636580693331,7
25,reflektive,0.852248501591729,4
25,fpoe,0.485074674994753,10
25,unhcr,0.910785704502739,4
25,stern,0.694995976771254,2
25,futurezone,0.354404606293709,12
25,5min,0.787712956820985,1
25,handelsblatt,0.370174835454993,10
25,3druck,0.868586643401002,1
25,datum,0.564675294707831,3
25,3d-grenzenlos,0.87271061233047,1
25,kathpress,0.856019184101625,4
25,parlament,0.424503364992213,37
25,niittyvirta,1,1
25,sabineschatz,0.484457308057998,17
25,weidenholzer,0.754331220915183,1
25,arbeiterkammerwahl2019,0.71418854815795,1
25,diesubstanz,0.480936502529823,15
25,falter,0.410955795420755,22
25,michaelbernhard,0.92687402658438,2
25,meineabgeordneten,0.795654270223939,1
25,bmk,0.670233593080093,4
25,ard-wien,0.68585464791209,2
25,arminwolf,0.741803439168018,1
25,arbeiterkammer,0.830418954091884,1
25,n-tv,0.562185090510577,4
25,tagesanzeiger,0.523884205209713,2
25,luzernerzeitung,0.69831681241335,2
25,addendum,0.561477619552173,1
25,epicenter,0.717392066851022,2
