url_core,N_url,N,rel_party,insularity_party,insularity_media
wordpress,76,4,0.000922296518330643,0.183455914577263,0.39738197678645
futurezone,25,4,0.000922296518330643,0.510732850956111,0.236694864420473
bmi,18,4,0.000922296518330643,0.520873722597319,0.279576192691913
austrianwings,4,4,0.000922296518330643,1,1
dailymail,11,4,0.000922296518330643,0.534199705413036,0.805745561667988
fpoe-bildungsinstitut,4,4,0.000922296518330643,1,1
patriots,4,4,0.000922296518330643,1,1
express,4,4,0.000922296518330643,1,1
viemedia,4,4,0.000922296518330643,1,1
atv,6,4,0.000922296518330643,0.770958804625298,0.665051111825089
industriemagazin,4,4,0.000922296518330643,1,1
vol,34,3,0.000691722388747983,0.296867120603176,0.494950491955206
buff,5,3,0.000691722388747983,0.730497658247114,0.640006840915663
achgut,4,3,0.000691722388747983,0.776332618202822,0.782302770255572
fpoe-wien,4,3,0.000691722388747983,0.89549196129082,0.840873818111106
goo,4,3,0.000691722388747983,0.89549196129082,0.840873818111106
labournetaustria,3,3,0.000691722388747983,1,1
bp-wahl,3,3,0.000691722388747983,1,1
falter,66,3,0.000691722388747983,0.169602989747867,0.363296879951539
fpoe-parlamentsklub,3,3,0.000691722388747983,1,1
trend,23,3,0.000691722388747983,0.470921431244799,0.310893315839143
gmx,4,3,0.000691722388747983,0.881869389000262,0.825559179963238
washingtonpost,15,3,0.000691722388747983,0.500707689925351,0.266852734758194
jusline,4,3,0.000691722388747983,0.89549196129082,0.840873818111106
wn24,3,3,0.000691722388747983,1,1
fpoe-linz,3,3,0.000691722388747983,1,1
tagesstimme,3,3,0.000691722388747983,1,1
leadersnet,5,3,0.000691722388747983,0.816777911776623,0.649052996303952
