url_core,N_url,N,rel_party,insularity_party,insularity_media
goo,547,25,0.000874248146593929,0.13637808510589,0.368912586143146
scenarieconomici,49,25,0.000874248146593929,0.764341839871794,0.465534011521959
italiaoggi,76,24,0.000839278220730172,0.60482903310261,0.309034344186338
milanotoday,29,23,0.000804308294866415,0.809797890464648,0.659399459698921
pscp,362,23,0.000804308294866415,0.17001584795552,0.295029375727026
salvininonmollare,23,23,0.000804308294866415,1,1
agricolae,240,23,0.000804308294866415,0.439382569614408,0.487567255415544
larena,59,23,0.000804308294866415,0.758443819865638,0.656071433439465
google,348,22,0.000769338369002658,0.253391575420829,0.189442852691514
tempi,69,22,0.000769338369002658,0.557933610557459,0.410342157952674
linkiesta,346,22,0.000769338369002658,0.176351780859935,0.326813535690307
maurizioblondet,24,22,0.000769338369002658,0.967240471466622,0.93026993959115
corrieredicomo,22,22,0.000769338369002658,1,1
publicpolicy,166,21,0.000734368443138901,0.503297547596802,0.352597071938751
ladestra,20,20,0.000699398517275143,1,1
