"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30"
"10","dier","bart","werken","minister","israël","kind","brussel","ind","have","actie","groningers","groenlinks","leven","maatregelen","gemeente","waar","nieuwenhuizen","with","slachtoffer","volgens","bijna","economie","vlees","couitstoot","uitspraak","kamerleden","fraude","baudet","kosten","trouwnl"
"11","gewaarschuwd","kennis","zzpers","leden","defensie","docenten","stikstof","vrouwen","who","rijden","euro","stemmen","echt","artsen","amsterdam","wel","vliegtuigen","will","verdachte","zegt","kwartaal","procent","plastic","procent","grapperhaus","pvda","toeslagenaffaire","vrouw","kinderen","tonen"
"12","reuters","technologie","koolmees","artikel","turkse","klas","nederlandse","land","this","zegt","gas","zetels","elkaar","coronacrisis","mensen","mensen","trein","have","volgens","kamer","cbs","lonen","zorg","biomassa","openbaar","christenunie","trouw","zwarte","problemen","groepsprofielen"
"13","augustus","wetenschap","sociale","mening","rusland","leraar","lidstaten","nederlanders","are","mensen","versterking","buma","iedereen","besmet","bouwen","nieuws","vliegtuig","than","burgemeester","data","ruim","cpb","boer","maatregelen","rtl","groenlinks","snel","discriminatie","patiënten","telegraaf"
"14","volg","wetenschappers","bank","lid","oorlog","voortgezet","parlement","opvang","his","utrecht","gemeenten","klaver","werk","patiënt","huizen","nooit","omwonenden","but","grapperhaus","zaken","blijkt","belasting","producten","gas","beroep","zei","leijten","politieke","gemeente","vergelijkbare"
"15","onderzoek","algoritmen","banken","bereid","land","lerarentekort","duitsland","nationaliteit","its","vervoer","huizen","premier","land","medische","huurwoningen","bent","vliegveld","its","meldingen","privacy","miljoen","hogere","lezen","elektrische","vervolging","partij","das","mensen","huisartsen","gezamenlijke"
"16","buitenland","onderzoek","mensen","wet","irak","krijgen","kabinet","marokko","they","kilometer","vuurwerk","politieke","willen","verpleegkundigen","corporaties","wij","passagiers","has","incidenten","overheid","vooral","jaar","dieren","autos","documenten","voorstel","onderzoek","boek","minister","kunt"
"17","schouten","universiteiten","zegt","brief","blok","geld","landbouw","staatssecretaris","were","volgens","sodm","asscher","natuurlijk","verpleeghuizen","woningcorporaties","jaar","infrastructuur","change","jarige","blijkt","mannen","inkomens","bent","kosten","stukken","partijen","financiën","geschiedenis","verzekeraars","gebruikt"
"18","bedrijven","economie","arbeidsmigranten","vergaderjaar","landen","leren","frankrijk","marokkaanse","been","boeren","gemeente","democratie","allemaal","volksgezondheid","stad","dag","luchtvaartsector","they","twee","wel","mensen","bedrijven","log","nederland","college","zaken","ombudsman","joden","eigen","facebook"
"19","stallen","internationale","wet","deelt","verenigde","moeten","brexit","integratie","but","auto","zeeland","kiezers","alleen","mondkapjes","betaalbare","waarin","air","said","vrouw","regels","hoger","miljoen","koeien","euro","ambtenaren","pvv","informatie","joodse","jonge","onze"
"20","slachthuizen","groenlinks","werkgever","wijze","militairen","minister","moeten","asiel","after","rotterdam","aardbevingen","politiek","gaan","personeel","huren","ging","luchthavens","global","zaak","burgers","groei","koopkracht","onafhankelijk","zonnepanelen","strafzaak","meerderheid","von","democratie","miljoen","groep"
"21","zegt","overheid","kabinet","ten","regering","universiteiten","land","migratie","their","gaan","gedeputeerde","coalitie","goede","moeten","woningmarkt","vrouw","minister","new","verdachten","onderzoekers","stijging","pensioenen","nieuwsmedium","wiebes","nieuws","vindt","fiscus","islamitische","jongeren","websites"
