party_short,topic,Score
PP,T16.ciudad,0.511615965233149
PSC-PSOE,T16.ciudad,0.347907559799343
ERC-S,T16.ciudad,0.514252897001187
PsdeG-PSOE,T16.ciudad,0.505057994288519
JxCat-JUNTS,T16.ciudad,0.510135450680229
ECP-GUAYEM EL CANVI,T16.ciudad,0.51011441281898
EAJ-PNV,T16.ciudad,0.443474118479067
ERC-CATSÍ,T16.ciudad,0.331233933949573
EH Bildu,T16.ciudad,0.28087506596139
VOX,T17.gente,0.449184006900733
UP,T17.gente,0.505663601403796
PSOE,T17.gente,0.49833955285894
Cs,T17.gente,0.498844202922112
PP,T17.gente,0.458810416314952
PSC-PSOE,T17.gente,0.511364929787602
ERC-S,T17.gente,0.472988694722466
PsdeG-PSOE,T17.gente,0.368295389346579
JxCat-JUNTS,T17.gente,0.515380111095281
ECP-GUAYEM EL CANVI,T17.gente,0.514761929763885
EAJ-PNV,T17.gente,0.509225754256026
ERC-CATSÍ,T17.gente,0.514189317507331
EH Bildu,T17.gente,0.335924367353274
VOX,T18.tribunal,0.390125614052676
UP,T18.tribunal,0.321401224087817
PSOE,T18.tribunal,0.206148067136815
Cs,T18.tribunal,0.451219991433483
PP,T18.tribunal,0.420371534762076
PSC-PSOE,T18.tribunal,0.328187910458015
ERC-S,T18.tribunal,0.534306173778273
PsdeG-PSOE,T18.tribunal,0.0664467871800625
JxCat-JUNTS,T18.tribunal,0.538826266032029
ECP-GUAYEM EL CANVI,T18.tribunal,0.240665294979455
EAJ-PNV,T18.tribunal,0.568849098286706
ERC-CATSÍ,T18.tribunal,0.538697707274711
EH Bildu,T18.tribunal,0.226603386077267
VOX,T19.cataluña,0.170422289260125
UP,T19.cataluña,0.0470924181283248
PSOE,T19.cataluña,0.0905412264277432
Cs,T19.cataluña,0.262032033520938
PP,T19.cataluña,0.116946114829246
PSC-PSOE,T19.cataluña,0.523209685681953
ERC-S,T19.cataluña,0.554677323883438
PsdeG-PSOE,T19.cataluña,0.0146438653055749
JxCat-JUNTS,T19.cataluña,0.607212785550301
ECP-GUAYEM EL CANVI,T19.cataluña,0.507493508149243
EAJ-PNV,T19.cataluña,0.300439155175208
ERC-CATSÍ,T19.cataluña,0.564361125352118
EH Bildu,T19.cataluña,0.157475325331142
VOX,T20.vox,0.551316392379657
UP,T20.vox,0.501822672827456
PSOE,T20.vox,0.427132527024549
Cs,T20.vox,0.501070287228258
PP,T20.vox,0.516860505870279
PSC-PSOE,T20.vox,0.426877902117472
ERC-S,T20.vox,0.385034231944825
PsdeG-PSOE,T20.vox,0.509238520000268
JxCat-JUNTS,T20.vox,0.172304322105656
ECP-GUAYEM EL CANVI,T20.vox,0.332854363747751
EAJ-PNV,T20.vox,0.501903038811571
ERC-CATSÍ,T20.vox,0.508711647645983
EH Bildu,T20.vox,0.505676677779585
VOX,T21.climático,0.27925662105727
UP,T21.climático,0.606052342468023
PSOE,T21.climático,0.532827372704932
Cs,T21.climático,0.247534665886454
PP,T21.climático,0.211507097503521
PSC-PSOE,T21.climático,0.384828439019977
ERC-S,T21.climático,0.298151982474694
PsdeG-PSOE,T21.climático,0.50028262127898
JxCat-JUNTS,T21.climático,0.502816216772745
ECP-GUAYEM EL CANVI,T21.climático,0.54231683036545
EAJ-PNV,T21.climático,0.219808700159105
ERC-CATSÍ,T21.climático,0.278347857104599
EH Bildu,T21.climático,0.184724650122698
VOX,T22.millones,0.51835669666577
UP,T22.millones,0.514483454671522
PSOE,T22.millones,0.50199368321686
Cs,T22.millones,0.55354458985833
PP,T22.millones,0.505096262833767
PSC-PSOE,T22.millones,0.395137430013181
ERC-S,T22.millones,0.339017587426527
PsdeG-PSOE,T22.millones,0.330085604788101
JxCat-JUNTS,T22.millones,0.533506761862488
ECP-GUAYEM EL CANVI,T22.millones,0.47440740680639
EAJ-PNV,T22.millones,0.202501702440475
ERC-CATSÍ,T22.millones,0.292645998537143
EH Bildu,T22.millones,0.315445431574613
VOX,T23.educación,0.506916617295293
UP,T23.educación,0.523008000172179
PSOE,T23.educación,0.530522632517658
Cs,T23.educación,0.544994482552164
PP,T23.educación,0.510798056784101
PSC-PSOE,T23.educación,0.504056169197923
ERC-S,T23.educación,0.187272365379168
PsdeG-PSOE,T23.educación,0.501191876389732
JxCat-JUNTS,T23.educación,0.290406995073165
ECP-GUAYEM EL CANVI,T23.educación,0.519722400751514
EAJ-PNV,T23.educación,0.0841569415379078
ERC-CATSÍ,T23.educación,0.239142468066433
EH Bildu,T23.educación,0.363288166356024
VOX,T24.psoe,0.249728115123229
UP,T24.psoe,0.290851960650877
PSOE,T24.psoe,0.273109715907429
Cs,T24.psoe,0.4532514288151
PP,T24.psoe,0.412049303389058
PSC-PSOE,T24.psoe,0.398343655487463
ERC-S,T24.psoe,0.396066870139097
PsdeG-PSOE,T24.psoe,0.218162636880966
JxCat-JUNTS,T24.psoe,0.237355085575562
ECP-GUAYEM EL CANVI,T24.psoe,0.305837787350522
EAJ-PNV,T24.psoe,0.593609354190248
ERC-CATSÍ,T24.psoe,0.511550663648128
EH Bildu,T24.psoe,0.569089477598601
VOX,T25.mujeres,0.518698896243203
UP,T25.mujeres,0.522501883562499
PSOE,T25.mujeres,0.546375281361247
Cs,T25.mujeres,0.387262129889914
PP,T25.mujeres,0.313486966228039
PSC-PSOE,T25.mujeres,0.575000919720067
ERC-S,T25.mujeres,0.495057264869904
PsdeG-PSOE,T25.mujeres,0.213748752221551
JxCat-JUNTS,T25.mujeres,0.181610381442367
ECP-GUAYEM EL CANVI,T25.mujeres,0.520396902227701
EAJ-PNV,T25.mujeres,0.0595791739341525
ERC-CATSÍ,T25.mujeres,0.316376935584263
EH Bildu,T25.mujeres,0.154217915338493
VOX,T26.psoe,0.502768897883892
UP,T26.psoe,0.509256909965311
PSOE,T26.psoe,0.56647286876496
Cs,T26.psoe,0.516481287478798
PP,T26.psoe,0.560378242192374
PSC-PSOE,T26.psoe,0.502726748518187
ERC-S,T26.psoe,0.221768377557883
PsdeG-PSOE,T26.psoe,0.511513878745111
JxCat-JUNTS,T26.psoe,0.0476377717983314
ECP-GUAYEM EL CANVI,T26.psoe,0.321019253472429
EAJ-PNV,T26.psoe,0.330846112577542
ERC-CATSÍ,T26.psoe,0.219198686775381
EH Bildu,T26.psoe,0.154744961686214
VOX,T27.the,0.541520670678388
