K,url_core,gini,N_url
20,noudiari,0.442336567594359,5
20,eldia,0.328105497247458,27
20,elcritic,0.970954860929515,4
20,malagahoy,0.293621872100194,22
20,eldiadecordoba,0.443934695131672,7
20,xataka,0.474058771009012,7
20,fundacionsistema,0.498258681700003,106
20,noticiasburgos,0.759528620536242,1
20,lainformacion,0.315435135042736,57
20,academia,0.91489125060921,1
20,viumolinsderei,0.962137629173168,2
20,diariodejerez,0.855593926046409,1
20,mscbs,0.503058642983498,99
20,elcorreo,0.437117144219035,16
20,orm,0.477662101962965,9
20,theclinic,0.775310569102402,1
20,lacomarca,0.695519111755189,2
20,e-noticies,0.415641551888717,17
20,lajunta,0.703020300942328,2
20,miteco,0.777246723466835,1
20,navarrainformacion,0.921893260279026,1
20,depourense,0.792830746736616,1
20,economistasfrentealacrisis,0.60501688927919,5
20,8cadiz,0.850924517594217,1
20,arboleuropeo,0.705825747907091,1
20,alacontra,0.812027260755333,1
20,granadaesnoticia,1,2
20,rtvc,0.728444109290765,1
20,salamanca24horas,0.352588452956503,6
20,aciprensa,0.495346338680209,13
20,que,0.56074210475099,1
20,regispro,0.811373717944846,2
20,fmujeresprogresistas,0.837691969211537,1
20,nacionespanola,0.627332382800717,2
20,murciadiario,0.785916545396193,1
20,eitb,0.406184232558265,22
20,cesnext,0.630145116980224,1
20,aulamagna,0.596190291865441,2
20,metropoliabierta,0.540216679098795,4
20,kamchatka,0.379920306044951,2
20,noticiasdealmeria,0.447925720539686,5
20,diariodeburgos,0.373680340575709,10
20,energyhub,0.789689919161346,2
20,elvigia,0.720579643433648,3
20,ahoraleon,0.777217151282652,2
20,aragonhoy,0.693694862008369,3
20,mitma,0.583734245768815,15
20,lasprovincias,0.39130546467363,5
20,sanidad,0.762355177748441,1
20,psoebadajoz,0.469350386253386,6
20,nortexpres,0.764794929450438,1
20,eldiariodelaeducacion,0.533298370403875,9
20,teleboadilla,0.804637004842581,1
20,parismatch,0.925742377169835,1
20,shar,0.495261353322182,4
20,sindromedown,0.831955869050546,1
20,laverdad,0.50505495672674,7
20,comunidad,0.526816925324838,12
20,fundacionalternativas,0.873431346325063,1
20,rosarodanews,0.631192920786983,1
20,diarideterrassa,0.696817638544802,1
20,shaacabat,0.789718209318249,1
20,praza,0.484394923460027,11
20,fsa-psoe,0.645467487383736,8
20,ppmadrid,0.579691316192582,2
20,comisionadopobrezainfantil,0.743703323073895,1
20,somatemps,0.61434490370419,2
20,mites,0.626285892088109,7
20,lagacetadesalamanca,0.425792330582916,10
20,criscancer,0.789641011336805,1
20,adif,0.664199329913553,5
20,cnn,0.459277670663176,26
20,maracolasamor,0.717313643406774,1
20,fastcompany,1,1
20,castillayleoneconomica,0.775897551048917,2
20,e-cic,0.714467219373473,1
20,revistagodot,0.72558867909268,1
20,bufete-de-abogados,0.789926118290215,1
20,psoelarioja,0.728375438383001,2
20,lanuevacronica,0.404622248773407,16
20,alicantepress,0.453575899340884,6
20,menorca,0.416703600410912,5
20,diariopalentino,0.511488021675754,8
20,oxfamintermon,0.842273897634082,1
20,soziable,0.686865889467278,1
20,pparagon,0.628809724855402,3
20,poderjudicial,0.658503172762483,4
20,ciencia,0.671937643238158,2
20,economia3,0.356496662357675,4
20,diariosigloxxi,0.402312801263396,8
20,tercerainformacion,0.366104008503171,4
20,mailchi,0.583312484496582,4
20,eluniversal,0.758565678857864,1
20,noticiasparamunicipios,0.629165398902004,2
20,xlsemanal,0.683924837899922,2
20,noticiascyl,0.38147882547042,19
20,hispanohablantes,0.63905116169592,2
20,redaccionmedica,0.442479285053492,69
20,ultimocero,0.520538989300059,3
20,observatoriuniversitari,0.82986463921758,1
20,abogacia,0.78965933231653,1
