Country,source_country,topic_country,party_short,source,source_rel,topic,topic_rel,N_urls,rel_urls,size,size_rel
France,0.662567333936185,0.13599202040409,PS,0.624491379746964,-0.0380759541892206,0.0889191947492906,-0.0470728256547994,175,0.560897435897436,740355,0.0656951580683953
France,0.662567333936185,0.13599202040409,RN,0.779133628272451,0.116566294336266,0.214446465514809,0.0784544451107186,93,0.298076923076923,331636,0.0294276116743594
France,0.662567333936185,0.13599202040409,UDI,0.691823996512141,0.0292566625759564,0.102452805103638,-0.0335392153004519,121,0.387820512820513,161723,0.0143504373554512
Germany,0.596283875901887,0.177751163371499,AfD,0.624708623711247,0.0284247478093604,0.223028700782486,0.0452775374109868,230,0.621621621621622,3904394,0.203497924337788
Germany,0.596283875901887,0.177751163371499,CDU,0.568053430652553,-0.0282304452493336,0.138284960146568,-0.0394662032249307,254,0.686486486486487,1811696,0.0944260173361276
Germany,0.596283875901887,0.177751163371499,CSU,0.779903147969721,0.183619272067834,0.22368687769207,0.0459357143205707,125,0.337837837837838,187755,0.00978583431488762
Germany,0.596283875901887,0.177751163371499,FDP,0.559547431941499,-0.0367364439603876,0.191251041280787,0.0134998779092877,228,0.616216216216216,3087062,0.160898390198853
Germany,0.596283875901887,0.177751163371499,GRÜNE,0.538518497569208,-0.0577653783326786,0.151925513226727,-0.025825650144772,252,0.681081081081081,3853689,0.200855167932172
Germany,0.596283875901887,0.177751163371499,LINKE,0.535780988525147,-0.0605028873767396,0.169854731918083,-0.00789643145341609,261,0.705405405405405,3684469,0.192035382132778
Germany,0.596283875901887,0.177751163371499,SPD,0.567475010943831,-0.0288088649580556,0.146226318553773,-0.0315248448177264,255,0.689189189189189,2657342,0.138501283747395
Italy,0.618365290489195,0.147729600637716,FI,0.555625660422903,-0.0627396300662922,0.122458630690535,-0.0252709699471805,190,0.701107011070111,577493,0.115191522439481
Italy,0.618365290489195,0.147729600637716,FdI,0.681472740252135,0.0631074497629398,0.135266399055219,-0.0124632015824968,148,0.546125461254613,259276,0.0517173319365236
Italy,0.618365290489195,0.147729600637716,IV,0.588515458607982,-0.0298498318812132,0.140629572262315,-0.00710002837540075,166,0.612546125461255,670564,0.133756232635041
Italy,0.618365290489195,0.147729600637716,LN,0.642199688818598,0.0238343983294028,0.185033796318356,0.0373041956806402,167,0.616236162361624,486575,0.0970562674023588
Italy,0.618365290489195,0.147729600637716,M5S,0.655297498996824,0.0369322085076288,0.180376840047157,0.0326472394094413,196,0.723247232472325,2119770,0.422826828241274
Italy,0.618365290489195,0.147729600637716,PD,0.587080695836729,-0.0312845946524662,0.122612365452712,-0.0251172351850036,182,0.671586715867159,899651,0.179451817345321
Netherlands,0.526239057637016,0.197205071790628,50PLUS,0.588546320941659,0.0623072633046434,0.241692832770022,0.0444877609793946,77,0.557971014492754,107753,0.0238576648170019
