url_core,insularity_media,N_url,max_party,N_party,rel_party
lto,0.540889045704253,107,FDP,24,0.000637941575184073
shz,0.53685881410402,128,FDP,43,0.00114297865553813
bild,0.531232988346366,3525,AfD,1387,0.0374510598082895
politico,0.530776330490974,77,FDP,21,0.000558198878286064
donaukurier,0.530424622557219,64,GRÜNE,29,0.000606326705555207
washingtonpost,0.529699251736846,112,SPD,47,0.000788233518372549
morgenpost,0.528944279361564,1041,FDP,270,0.00717684272082082
bz-berlin,0.528663567166737,451,AfD,170,0.00459025246388551
berliner-kurier,0.528475355582361,76,Misc.,1,0.000677506775067751
merkur,0.527807354452489,459,CSU,47,0.00640326975476839
der-postillon,0.525316218261714,168,Misc.,3,0.00203252032520325
theeuropean,0.521484337682877,84,FDP,27,0.000717684272082082
bit,0.520370422462481,218,SPD,93,0.00155969611082228
nytimes,0.51956763392819,265,GRÜNE,80,0.00167262539463505
mittelbayerische,0.519484112088497,62,CSU,4,0.000544959128065395
destatis,0.518742191463521,71,CSU,4,0.000544959128065395
rheinpfalz,0.518480833729164,76,CDU,22,0.000438055035641751
ft,0.518321923325918,77,GRÜNE,22,0.00045997198352464
br,0.517855806308929,873,CSU,75,0.0102179836512262
theguardian,0.517461727069175,253,GRÜNE,95,0.00198624265612913
focus,0.517152976161532,2451,AfD,1106,0.0298636425003375
ksta,0.513990619333287,196,GRÜNE,73,0.00152627067260449
rbb-online,0.510964006538983,107,LINKE,33,0.000592810821492087
heise,0.508868156419422,527,LINKE,278,0.00499398207196364
apple,0.507783826274874,67,CSU,4,0.000544959128065395
aerztezeitung,0.504299170475383,107,FDP,24,0.000637941575184073
cicero,0.503946620953546,187,AfD,77,0.00207911435128932
bloomberg,0.501862467762918,63,GRÜNE,20,0.000418156348658764
rtl,0.497204029194378,107,AfD,31,0.000837046037532064
hessenschau,0.496076041580554,294,AfD,59,0.00159308761981909
saarbruecker-zeitung,0.495976225186059,245,FDP,69,0.00183408202865421
bento,0.495642094130098,74,LINKE,24,0.000431135142903336
netzpolitik,0.494672926831131,201,LINKE,75,0.00134729732157292
bund,0.49221187459331,262,SPD,151,0.00253240981434585
haz,0.49203749622449,300,AfD,86,0.00232212771702444
lr-online,0.486969031920702,106,SPD,33,0.000553440555453067
svz,0.485407076550813,75,AfD,20,0.00054002970163359
wallstreet-online,0.484930987733009,57,FDP,19,0.000505037080354058
europa,0.479408566954832,522,SPD,252,0.00422627333255069
aerzteblatt,0.479192722718633,117,FDP,33,0.0008771696658781
berlin,0.478371778128454,111,GRÜNE,38,0.000794497062451651
freiepresse,0.475039648551046,187,CDU,55,0.00109513758910438
arte,0.472123000941121,78,Misc.,1,0.000677506775067751
yahoo,0.471301160205374,51,Misc.,1,0.000677506775067751
meedia,0.471225007158978,75,AfD,25,0.000675037127041987
lvz,0.470221468841699,241,AfD,48,0.00129607128392062
wz,0.464715602125477,188,FDP,51,0.00135562584726615
nordbayern,0.462704909137214,113,FDP,30,0.000797426968980091
inforadio,0.459694267109366,148,CDU,42,0.00083628688622516
hna,0.451134408269674,97,Misc.,1,0.000677506775067751
welt,0.447218017314837,8377,AfD,2716,0.0733360334818415
dnn,0.446944839370205,87,AfD,21,0.000567031186715269
wordpress,0.442746005436873,242,AfD,61,0.00164709058998245
facebook,0.440326038951174,39529,CSU,2362,0.321798365122616
nwzonline,0.436110186653049,101,SPD,33,0.000553440555453067
mopo,0.426086661792252,147,LINKE,53,0.000952090107244867
stuttgarter-zeitung,0.417104276032877,478,GRÜNE,144,0.0030107257103431
wdr,0.415781431970277,631,Misc.,8,0.00542005420054201
bbc,0.414360600549254,117,GRÜNE,26,0.000543603253256393
derwesten,0.412662541918871,222,SPD,78,0.00130813222197998
dradio,0.411482228088731,105,FDP,20,0.000531617979320061
wiwo,0.411216357998301,409,FDP,129,0.00342893596661439
t-online,0.395026817584467,661,AfD,192,0.00518428513568246
augsburger-allgemeine,0.386758816542077,298,CSU,21,0.00286103542234332
stuttgarter-nachrichten,0.382001723932977,299,GRÜNE,70,0.00146354722030567
bpb,0.377643655722917,64,CDU,17,0.000338497072995898
rp-online,0.374204591647964,1011,FDP,164,0.0043592674304245
ndr,0.372350769943802,891,GRÜNE,192,0.00401430094712413
juedische-allgemeine,0.370500596088893,79,LINKE,23,0.000413171178615697
wikipedia,0.3700286342009,220,GRÜNE,52,0.00108720650651279
handelsblatt,0.362421550769146,2873,FDP,821,0.0218229180510885
rbb24,0.354648725189085,398,LINKE,114,0.00204789192879085
ardmediathek,0.348059720391921,244,LINKE,64,0.0011496937144089
google,0.343988963465385,250,AfD,53,0.00143107870932901
huffingtonpost,0.343233921634385,300,FDP,97,0.00257834719970229
daserste,0.339110660901028,296,LINKE,76,0.00136526128586056
businessinsider,0.337215243654437,100,Misc.,2,0.0013550135501355
youtube,0.326397213234369,8689,AfD,2530,0.0683137572566491
sueddeutsche,0.319196913751104,4757,GRÜNE,1628,0.0340379267808233
n-tv,0.319048749960979,2056,AfD,537,0.0144997974888619
swr,0.318666784601982,589,CDU,131,0.00260841862132133
faz,0.313978763828893,4313,FDP,1149,0.0305414529119375
mdr,0.30818388878849,789,LINKE,202,0.00362872078610308
waz,0.305690690068086,231,GRÜNE,56,0.00117083777624454
berliner-zeitung,0.30529565363429,796,GRÜNE,199,0.0041606556691547
dw,0.304600966010961,414,GRÜNE,107,0.00223713646532438
rnd,0.295540612495074,702,FDP,162,0.00430610563249249
bundestag,0.291785415961367,4178,GRÜNE,1122,0.0234585711597566
pnp,0.289749637136706,134,FDP,24,0.000637941575184073
pscp,0.280437701249395,691,CSU,32,0.00435967302452316
zeit,0.27773344041878,2997,GRÜNE,792,0.016558991406887
phoenix,0.263719385010493,161,GRÜNE,33,0.00068995797528696
tagesspiegel,0.253991299773475,3742,GRÜNE,877,0.0183361558886868
spiegel,0.22928465376162,9733,GRÜNE,2308,0.0482552426352213
reuters,0.228688633391196,262,CSU,11,0.00149863760217984
tagesschau,0.22125988939614,4841,GRÜNE,1148,0.024002174413013
deutschlandfunk,0.215758137856446,1844,GRÜNE,408,0.00853038951263878
zdf,0.185153240174214,1423,GRÜNE,316,0.00660687030880846
stern,0.175504026386996,579,LINKE,147,0.00264070275028293
twitter,0.169822553546562,82526,Misc.,838,0.567750677506775
presseportal,0.161295987489154,213,GRÜNE,44,0.00091994396704928
